# By(T),f_res (Hz)
0,1814370000
0.009,1813890000
0.018,1813870000
0.027,1813880000
0.036,1813840000
0.045,1813750000
0.054,1813480000
0.063,1813370000
0.072,1813350000
0.081,1813350000
0.09,1813500000
0.099,1813650000
0.108,1813450000
0.117,1813610000
0.126,1813710000
0.135,1813620000
0.144,1813430000
0.153,1813400000
0.162,1813500000
0.171,1813500000
0.18,1813590000
0.189,1813400000
0.198,1813510000
0.207,1813570000
0.216,1813650000
0.225,1813330000
0.234,1813310000
0.243,1813290000
0.252,1813290000
0.261,1813240000
0.27,1813290000
0.279,1813170000
0.288,1813110000
0.297,1813060000
0.306,1813020000
0.315,1812960000
0.324,1812900000
0.333,1812870000
0.342,1812810000
0.351,1812710000
0.36,1812630000
0.369,1812570000
0.378,1812510000
0.387,1812380000
0.396,1812340000
0.405,1812280000
0.414,1812170000
0.423,1812100000
0.432,1811950000
0.441,1811830000
0.45,1811780000
0.459,1811800000
0.468,1811520000
0.477,1811380000
0.486,1811250000
0.495,1811120000
0.504,1811000000
0.513,1810880000
0.522,1810700000
0.531,1810570000
0.54,1810360000
0.549,1810230000
0.558,1810020000
0.567,1809850000
0.576,1809700000
0.585,1809510000
0.594,1809260000
0.603,1809090000
0.612,1808890000
0.621,1808650000
0.63,1808400000
0.639,1808220000
0.648,1807960000
0.657,1807700000
0.666,1807430000
0.675,1807150000
0.684,1806920000
0.693,1806630000
0.702,1806360000
0.711,1806100000
0.72,1805750000
0.729,1805480000
0.738,1805160000
0.747,1804890000
0.756,1804600000
0.765,1804280000
0.774,1804020000
0.783,1803670000
0.792,1803350000
0.801,1803070000
0.81,1802740000
0.819,1802480000
0.828,1802130000
0.837,1801870000
0.846,1801530000
0.855,1801140000
0.864,1800790000
0.873,1800430000
0.882,1799980000
0.891,1799580000
0.9,1799120000
